Year,Artist,Title,Genre,Streams(Millions)
2017,Kygo,It Ain't Me,Tropical House,1412
2016,Avicii,Waiting For Love,Festival Progressive House,1369
2017,Selena Gomez,Wolves,Future Bass,1356
2019,Regard,Ride It,Deep House,1331
2017,Axwell /\ Ingrosso ,More Than You Know,Trap,1330
2017,Axwell /\ Ingrosso ,More Than You Know,Festival Progressive House,1330
2014,Clean Bandit,Rather Be,House,1309
2014,Clean Bandit,Rather Be,Diva House,1309
2014,Pitbull,Time Of Our Lives,Hip House,1302
2015,Major Lazer,Light It Up - Remix,Moombahton,1268
2017,Martin Garrix,Scared To Be Lonely,Future Bass,1252
2021,Coldplay,My Universe,Nu-Disco,1247
2017,Zedd,Stay,Future Bass,1222
,Tiësto,The Business,Slap House,1212
2017,Loud Luxury,Body,Slap House,1209
2015,Robin Schulz,Sugar,Deep House,1203
2015,Robin Schulz,Sugar,Tropical House,1203
2015,Robin Schulz,Sugar,Funky House,1203
2014,Krono,Dancin,Deep House,1193
2016,Hailee Steinfeld,Starving,Future Bass,1189
2014,Calvin Harris,Outside,Electro House,1180
2021,LISA,MONEY,Trap,1176
2020,Joel Corry,Head & Heart,Future House,1175
2021,Lost Frequencies,Where Are You Now,Tropical House,1170
2012,Swedish House Mafia,Don't You Worry Child,Festival Progressive House,1155
2011,Avicii,Levels,Festival Progressive House,1148
2011,Pitbull,Give Me Everything,Hip House,1145
2019,Topic,Breaking Me,Slap House,1138
,Dua Lipa,Break My Heart,Nu-Disco,1136
2010,Rihanna,Only Girl (In The World),Electro House,1133
2015,Jonas Blue ,Fast Car,Tropical House,1132
2015,Calvin Harris,How Deep Is Your Love,Future House,1112
2017,Calvin Harris,Feels,Nu-Disco,1111
2016,Kungs,This Girl,Funky House,1105
2016,Kungs,This Girl,Tropical House,1105
2018,Hailee Steinfeld,Let Me Go,Tropical House,1099
2015,Jack Ü,Where Are Ü Now,Future Bass,1099
2015,Kygo,Firestone,Tropical House,1091
2015,Jack Ü,Where Are Ü Now,Trap,1089
2011,Rihanna,S&M,Electro House,1075
2011,Jennifer Lopez,On The Floor,Electro House,1064
2015,DJ Snake,Middle,Tropical House,1060
2011,Calvin Harris,Feel So Close,Electro House,1055
2014,Robin Schulz,Prayer In C,Tropical House,1055
2017,Avicii,Without You,Festival Progressive House,1054
2020,Lady Gaga,Rain On Me,Diva House,1051
2015,The Chainsmokers,Roses,Future Bass,1045
2016,Jonas Blue ,Perfect Strangers,Tropical House,1038
2014,Lost Frequencies,Are You With Me,Tropical House,1034
2017,Calvin Harris,Slide,Nu-Disco,1032
2018,Calvin Harris,Promises,Garage House,1029
2018,Calvin Harris,Promises,Nu-Disco,1029
2016,Shakira,Chantaje,Electro Latino,1028
2020,BLACKPINK,How You Like That,Trap,1023
2023,FIFTY FIFTY,Cupid,Nu-Disco,1017
2007,Rihanna,Don't Stop The Music,Euro House,1003
2012,Disclosure,Latch,Deep Tech,1001
2012,Disclosure,Latch,UK Bass,1001
2013,Avicii,Hey Brother,Festival Progressive House,1000
2019,MEDUZA,Piece Of Your Heart,Future House,991
2014,Robin Schulz,Waves,Deep House,988
2014,Robin Schulz,Waves,Tropical House,988
2017,Dennis Lloyd,Nevermind,Tropical House,984
2024,Sabrina Carpenter,Espresso,Nu-Disco,977
2021,Riton,Friday,Euro House,969
2015,Zara Larsson,Never Forget You,UK Bass,968
2010,David Guetta,Memories,Electro House,967
2014,Calvin Harris,Blame,Electro House,957
2016,Kygo,Stole The Show,Tropical House,957
2016,Maroon 5,Don't Wanna Know,Tropical House,955
2017,Jonas Blue,Mama,Tropical House,949
,Calvin Harris,My Way,Tropical House,936
2019,Kygo,Higher Love,Tropical House,933
2019,MEDUZA,Lose Control,Future House,928
2019,MEDUZA,Lose Control,Tech House,926
2009,David Guetta,Sexy Bitch,Electro House,921
2014,Ariana Grande,Break Free,Electro House,914
2023,Dua Lipa,Dance The Night Away,Nu-Disco,911
2019,Surf Mesa,ily (i love you baby) ,Tropical House,905
,Juice WRLD,Come & Go,Trap,898
2017,Cheat Codes,Pretty Girl,Tropical House,897
2016,Ryan Riback,Call On Me,Tropical House,895
2006,Justin Timberlake,SexyBack,Electroclash,893
2020,Doja Cat,Boss Bitch,Hip House,885
2020,Doja Cat,Boss Bitch,Future House,885
2014,Galantis,Runaway (U&I),Festival Progressive House,882
,Dua Lipa,Levitating,Nu-Disco,879
2010,USHER,DJ Got Us Fallin' In Love,Electro House,877
2011,Flo Rida,Wild Ones,Hip House,869
2018,Jonas Blue,Rise,Tropical House,868
2012,Zedd,Beauty And A Beat,Electro House,868
2023,PinkPantheress,Boys A Liar Pt. 2,Baltimore Club,867
2016,Galantis,No Money,Tropical House,865
2018,Tiësto,Jackie Chan,Electro House,861
2018,Tiësto,Jackie Chan,Future Bounce,861
2022,Bad Bunny,Neverita,Latin House,858
2021,Tiësto,The Motto,Slap House,838
2015,David Guetta,Hey Mama,Twerk,824
2016,Flume,Never Be Like You,Future Bass,823
2017,David Guetta,2U,Future Bass,819
2015,Deorro,Five More Hours,Electro House,818
2015,Petit Biscuit,Sunset Lover,Tropical House,815
2019,BLACKPINK,Kill This Love,Festival Trap,812
2022,Beyoncé,CUFF IT,Nu-Disco,808
2011,The Wanted,Glad You Came,Romanian Popcorn,802
2016,Mike Perry,The Ocean,Tropical House,800
2021,ACRAZE,Do It To It,Tech House,793
2018,Zedd,Lost In Japan,Future Bass,784
2012,will.i.am,Scream & Shout,Electro House,784
2021,HVME,Goosebumps - Remix,Slap House,778
2016,Martin Jensen,Solo Dance,Tropical House,768
,Kordhell,Murder In My Mind,Phonk House,766
2016,Hippie Sabotage,Devil Eyes,Trap,760
2016,Alok,Hear Me Now,Brazilian Bass,760
1992,Haddaway,What Is Love,Eurodance,758
2012,will.i.am,Scream & Shout,Hip House,757
2023,Bad Bunny,WHERE SHE GOES,Jersey Club,748
2022,Arcángel,La Jumpa,Hip House,737
2011,LMFAO,Party Rock Anthem,Electro House,735
2021,ATB,Your Love (9PM),Slap House,734
,Avicii,SOS,Tropical House,730
2022,Oliver Tree,Miss You,Eurodance,730
2016,Alan Walker,Alone,Electropop [EDM],729
2016,Alan Walker,Alone,Midtempo Bass,729
2019,Sub Urban,Cradles,Trap,728
2012,Ke$ha,Die Young,Electro House,727
2020,MEDUZA,Paradise,Future House,722
2023,Kenya Grace,Strangers,Liquid Drum & Bass,717
2011,Rihanna,Where Have You Been,Electro House,716
2013,Pitbull,Feel This Moment,Electro House,714
,Felix Jaehn,Ain't Nobody (Loves Me Better),Tropical House,709
2011,LMFAO,Party Rock Anthem,Fidget House,705
2000,Daft Punk,One More Time,French House,703
2000,Daft Punk,One More Time,Funky House,703
,Avicii,Lonely Together,Tropical House,699
2021,Tiësto,Don't Be Shy,Slap House,699
2010,Stromae,Alors On Danse,Electro House,698
,Clean Bandit,I Miss You,Tropical House,694
2024,cassö,Prada,Hypertechno,693
2023,cassö,Prada,Vocal Trance,693
2023,cassö,Prada,Progressive Trance,693
2023,Tyla,Water,Afropiano,692
2014,Alesso,Heroes (We Could Be),Festival Progressive House,690
,Flo Rida,Goin' Down For Real,Festival Trap,689
2010,Far East Movement,Like A G6,Hip House,682
2021,Dua Lipa,Love Again,Nu-Disco,680
2017,Cheat Codes,No Promises,Tropical House,676
2015,Lost Frequencies,Reality,Tropical House,676
2019,Marshmello,Here With Me,Future Bass,675
2016,Cheat Codes,Sex,Tropical House,675
2013,Cedric Gervais,Summertime Sadness,Festival Progressive House,673
1998,Eiffel 65,I'm Blue (Da Ba Dee),Italo Dance,673
2013,Pitbull,Feel This Moment,Hip House,672
2019,R3HAB,All Around The World (La La La),Slap House,668
,BLACKPINK,DDU-DU-DDU-DU,Trap,667
2019,Calvin Harris,Giant,Funky House,666
2019,Calvin Harris,Giant,Future House,666
2010,Stromae,Alors On Danse,Hip House,666
2010,Stromae,Alors On Danse,Euro House,666
2016,The Vamps,All Night,Future Bass,664
2022,Lil Uzi Vert,Just Wanna Rock,Philly Club,664
2022,Lil Uzi Vert,Just Wanna Rock,Jersey Club,664
2019,Alan Walker,On My Way,Moombahton,659
2018,grandson,Blood // Water,Hybrid Trap,650
2018,grandson,Blood // Water,Trap,650
2011,Flo Rida,Good Feeling,Hip House,650
2016,Seeb,Hymn For The Weekend,Tropical House,648
2019,Martin Garrix,Summer Days,Nu-Disco,645
2016,Two Feet,Go Fuck Yourself,Dubstep,644
2021,PinkPantheress,Pain,2-Step,644
2013,Flume,You & Me,Future Bass,644
2017,Two Feet,Go Fuck Yourself,Wonky,644
2006,Cascada,Everytime We Touch,Hands Up,642
2017,BTS,DNA,Future Bass,640
2013,Naughty Boy,La La La,Breakstep,636
2013,Naughty Boy,La La La,2-Step,636
2013,Drake,Take Care,Deep House,635
2013,Martin Garrix,Animals,Big Room House,635
2013,Flume,You & Me,Wonky,634
,DVRST,Close Eyes,Phonk House,633
2018,Kina,Can We Kiss Forever?,Future Bass,633
2009,Edward Maya,Stereo Love,Romanian Popcorn,632
2019,The Chainsmokers,Takeaway,Future Bass,630
2017,Tom Walker,Leave A Light On,Trap,627
2011,Lady Gaga,Born This Way,Electro House,625
2018,The Chainsmokers,This Feeling,Future Bass,621
2016,Jax Jones,You Don't Know Me,Tech House,619
2012,Steve Aoki,Pursuit Of Happiness,Electro House,619
2017,Hailee Steinfeld,Most Girls,Tropical House,618
2015,Duke Dumont,Ocean Drive,Nu-Disco,614
2018,Silk City,Electricity,Garage House,614
2018,Silk City,Electricity,Diva House,614
2014,Hippie Sabotage,Habits (Stay High),Chillstep,612
2022,James Hype,Ferrari,Tech House,612
2015,Hippie Sabotage,Habits (Stay High),Trap,612
2018,JENNIE,SOLO,Twerk,612
2019,The Chainsmokers,Call You Mine,Future Bass,611
2014,David Guetta,Bad,Big Room House,611
2013,Steve Aoki,Pursuit Of Happiness,Fidget House,606
2017,Martin Garrix,There For You,Future Bass,605
2018,Alan Walker,Darkside,Electro House,605
2011,David Guetta,Where Them Girls At,Electro House,605
1998,Cher,Believe,Eurodance,605
2016,The Chainsmokers,All We Know,Future Bass,602
2016,Burak Yeter,Tuesday,Tropical House,600
2016,Burak Yeter,Tuesday,Balearic Beat,600
2021,Majestic,Rasputin,Funky House,600
2014,Iggy Azalea,Black Widow,Trap,595
,Kygo,Stay,Tropical House,592
2018,BTS,Euphoria,Future Bass,591
2018,Alan Walker,Darkside,Glitch Hop,590
2018,FISHER,Losing It,Tech House,588
2010,Flo Rida,Club Can't Handle Me,Electro House,582
2019,Sam Feldt,Post Malone,Tropical House,580
2011,David Guetta,Where Them Girls At,Hip House,579
2013,Zedd,Clarity,Electro House,579
2013,Zedd,Clarity,Festival Progressive House,579
2014,AronChupa,I'm An Albatraoz,Melbourne Bounce,576
,Kygo,Remind Me To Forget,Tropical House,576
2011,Beyoncé,Run The World (Girls),Moombahto,576
2016,BTS,Blood Sweat & Tears,Moombahton,572
2012,David Guetta,Play Hard,Electro House,567
2013,Calvin Harris,Under Control,Electro House,567
2022,Imanbek,Belly Dancer,Slap House,567
2022,Tiësto,10:35,Slap House,567
2011,The Magician,I Follow Rivers,House,566
2011,The Magician,I Follow Rivers,Italo House*,566
2014,Pitbull,Fireball,Hip House,563
2014,Pitbull,Fireball,Latin House,563
2023,David Guetta,Baby Don't Hurt Me,Euro House,558
2011,Alexandra Stan,Mr. Saxobeat,Romanian Popcorn,558
2023,David Guetta,Baby Don't Hurt Me,Electro House,558
2016,Selena Gomez,Kill Em With Kindness,Brazilian Bass,553
,Kygo,Born To Be Yours,Tropical House,547
2017,Shouse,Love Tonight,Deep House,547
2017,Shouse,Love Tonight,Tech House,547
2019,Marshmello,One Thing Right,Future Bass,544
2019,The Chainsmokers,Who Do You Love,Future Bass,543
2013,DJ Snake,Turn Down For What,Twerk,543
2016,BLACKPINK,BOOMBAYAH,Big Room House,543
2016,BLACKPINK,BOOMBAYAH,Moombahton,542
2017,Alan Walker,All Falls Down,Electro House,541
2017,Alan Walker,All Falls Down,Glitch Hop,541
2013,Calvin Harris,Under Control,Festival Progressive House,537
2014,Timmy Trumpet,Freaks,Melbourne Bounce,537
2014,Timmy Trumpet,Freaks,Big Room House,537
,Marshmello,Alone,Trap,536
2017,Kygo,Stargazing,Tropical House,536
2021,Gabry Ponte,Thunder,Big Room Trance,536
2022,Gabry Ponte,Thunder,Psytrance,536
2021,Ava Max,My Head & My Heart,Euro House,526
2012,Calvin Harris,Sweet Nothing,Electro House,526
2021,Joel Corry,OUT OUT,Slap House,519
1997,Aqua,Barbie Girl,Bubblegum Dance,518
2018,Little Mix,Woman Like Me,Trap,516
2016,Steve Aoki,Just Hold On,Tropical House,515
2018,Zedd,Happy Now,Future Bass,513
2013,Daddy Yankee,Limbo,Electro Latino,513
2018,Armin van Buuren,Blah Blah Blah,Psytrance,509
2018,Armin van Buuren,Blah Blah Blah,Big Room Trance,509
2014,DJ Snake,You Know You Like It,Trap,505
2014,DJ Snake,You Know You Like It,Future Bass,505
2013,Calvin Harris,I Need Your Love,Electro House,504
2013,Calvin Harris,I Need Your Love,Big Room House,504
2020,Ariana Grande,Motive,House,502
2015,Ellie Goulding,On My Mind,Future Bass,501
2020,HVME,Goosebumps,Slap House,499
2016,Mura Masa,Love$ick,Future Bass,496
,Kygo,Happy Now,Tropical House,490
2009,David Guetta,When Love Takes Over,Electro House,490
2015,Deepend,Catch & Release,Deep House,487
2015,Deepend,Catch & Release,Tropical House,487
,The Living Tombstone,My Ordinary Life,Glitch Hop,485
2012,PSY,Gangnam Style,Hip House,485
,David Guetta,This One's For You,Moombahton,484
2021,J Balvin,In Da Getto,Hip House,479
2021,Galantis,Heartbreak Anthem,Diva House,479
2011,Skrillex,Bangarang,Complextro,479
,Ava Max,My Head & My Heart,Euro House,479
2021,Galantis,Heartbreak Anthem,Festival Progressive House,478
,Kylie Minogue,Can't Get You Out Of My Head,Euro House,476
,Joel Corry,BED,Garage House,472
,Calvin Harris,Sweet Nothing,Festival Progressive House,465
,David Guetta,Like I Do,Future Bounce,465
,Zara Larsson,Ain't My Fault,Trap,457
,Zara Larsson,Ain't My Fault,Festival Trap,457
1998,Alice Deejay,Better Off Alone,Eurodance,456
1998,Alice Deejay,Better Off Alone,Euro-Trance,456
,J Balvin,In Da Getto,Guaracha,455
2023,Dua Lipa,Houdini,Electro-Disco,454
,Stromae,Papaoutai,Euro House,454
,Skrillex,Bangarang,Moombahcore,454
2022,MEDUZA,Bad Memories,Future House,451
2021,bbno$,edamame,Hip House,451
2022,MEDUZA,Bad Memories,Future Rave,451
2021,Jason Derulo,Acapulco,Slap House,450
2021,220 KID,Wellerman,Slap House,449
1999,Daurde,Sandstorm,Trance,448
2015,Broiler,Shots,Tropical House,446
2021,Becky Hill,Remember,Garage House,445
2021,BLACKPINK,Pretty Savage,Trap,445
,Gigi D'Agostino,L'Amour Toujours,Italo Dance,445
,Gigi D'Agostino,L'Amour Toujours,Euro-Trance,445
2021,Becky Hill,Remember,Diva House,445
2011,LMFAO,Sexy And I Know It,Electro House,444
2020,Ofenbach,Head Shoulders Knees & Toes,Slap House,443
2012,Avicii,I Could Be The One,Electro House,443
,Jubël,Dancing In The Moonlight,Tropical House,441
2004,Eric Prydz,Call On Me,French House,441
,Nicki Minaj,Barbie World,Jersey Club,440
,Cheat Codes,Let Me Hold You (Turn Me On),Tropical House,439
,Daft Punk,Around The World,French House,438
2017,Alan Walker,The Spectre,Electro House,436
2023,Peggy Gou,(It Goes Like) Nanana,Euro House,435
2023,Tiësto,Lay Low,Slap House,435
,Calvin Harris,The Weekend,Nu-Disco,433
,Beyoncé,BREAK MY SOUL,Diva House,432
,Beyoncé,BREAK MY SOUL,Euro House,432
,David Guetta,Bang My Head,Tropical House,429
,David Guetta,Bang My Head,Moombahton,429
2008,Klaas,Infinity 2008,Electro House,428
2009,A-Trak,Heads Will Roll,Electro House,424
,David Guetta,When Love Takes Over,Festival Progressive House,422
,Martin Solveig,Intoxicated,Future House,420
,Vengaboys,"Boom, Boom, Boom, Boom!!",Bubblegum Dance,420
,Robin Schulz,Shed A Light,Tropical House,420
,David Guetta,Without You,Festival Progressive House,420
,Avicii,I Could Be The One,Festival Progressive House,419
,Jonas Blue,Polaroid,Tropical House,417
,Tiësto,Ritual,Garage House,416
2018,Dayvi,Baila Conmigo,Guaracha,416
,Katy Perry,Swish Swish,Future House,415
,Alan Walker,The Spectre,Festival Progressive House,414
2004,Linkin Park,Breaking The Habit,Drum & Bass,414
2022,Elton John,Hold Me Closer,Nu-Disco,412
,Route 94,My Love,Deep House,412
,Martin Garrix,High On Life,Festival Progressive House,411
,Gala,Freed From Desire,Italo House,411
,Gala,Freed From Desire,Diva House,411
2023,S3BZ,MONTAGEM - PR FUNK,Brazilian Phonk,410
,David Guetta,Lovers On The Sun,Festival Progressive House,410
,Klingande,Jubel,Tropical House,409
,Katy Perry,Swish Swish,Euro House,409
,Modjo,Lady (Hear Me Tonight),French House,407
2014,Tiësto,Wasted,Electro House,407
1983,Dead or Alive,You Spin Me Right Round (Like A Record),Hi-NRG,406
,Tinlicker,Because You Move Me,Deep House,404
,Tinlicker,Because You Move Me,Progressive House,404
,Sophie Ellis-Bextor,Murder On The Dancefloor,Nu-Disco,404
,Tinlicker,Because You Move Me,Melodic House,404
2019,Riton,Turn Me On,Slap House,403
2020,Felix Jaehn,Some Say,Future House,403
2018,K-391,Lily,Future Bass,403
2022,Jax Jones,Where Did You Go?,Slap House,401
,Robin Schulz,OK,Tropical House,401
,Skrillex,Purple Lamborghini,Hybrid Trap,400
,Mat Sassari,Give It To Me - Vocal Mix,Tech House,400
2024,Ariana Grande,yes and?,Diva House,400
,Regard,Secrets,Future House,399
2022,Alesso,Words,Electro House,399
,Harry Styles,Music For A Sushi Restaurant,Nu-Disco,397
,Riton,Turn Me On,Slap House,393
2021,Ofenbach,Wasted Love,Slap House,392
2016,BLACKPINK,WHISTLE,Twerk,392
2015,Cartoon,On & On,Tropical House,392
,Dxrk,RAVE,Phonk House,391
2016,Flume,Say It,Future Bass,391
,Daft Punk,"Harder, Better, Faster, Stronger",French House,390
,David Guetta,Love Tonight,Tech House,389
,David Guetta,Love Tonight,Future Rave,389
,Axwell /\ Ingrosso ,Sun Is Shining,Festival Progressive House,389
2012,MARINA,Primadonna,Electro House,388
2022,David Guetta,Crazy What Love Can Do,Slap House,385
2015,EDX,Show Me Love,Tropical House,384
,Sigala,Came Here For Love,Tropical House,382
2020,Lady Gaga,Stupid Love,Electro House,381
,Sean Paul,Mad Love,Moombahton,380
,Flume,Say It,Wonky,379
2017,Martin Garrix,So Far Away,Future Bass,378
,NOTD,So Close,Tropical House,375
,Jonas Blue,By Your Side,Tropical House,375
2019,Alok,Piece Of Your Heart,Slap House,373
,Calvin Harris,Rollin,Nu-Disco,371
,Matoma,Old Thing Back,Tropical House,371
,Calvin Harris,Miracle,Vocal Trance,371
,Calvin Harris,Miracle,Dream Trance,371
,Calvin Harris,Miracle,Euro-Trance,371
2016,Tinie Tempah,Girls Like,Hip House,371
,Sigala,Easy Love,Tropical House,370
,Alan Walker,Sing Me To Sleep,Midtempo Bass,367
,A-Trak,Heads Will Roll,French Electro,366
2020,twocolors,Lovefool,Slap House,363
2021,Öwnboss,Move Your Body,Brazilian Bass,360
,Avicii,Addicted To You,Nu-Disco,360
,J Balvin,Mi Gente - Remix,Moombahton,359
2018,K/DA,POP/STARS,Trap,358
2022,MUPP,vendetta!,Phonk House,357
,Robin Schulz,Headlights,Tropical House,354
,Robin Schulz,Headlights,House,354
,Bag Raiders,Shooting Stars,Electro-Disco,352
,Eliza Rose,Baddest Of Them All,Euro House,350
,Eliza Rose,Baddest Of Them All,Speed Garage,350
,Lady Gaga,Sour Cnady,Euro House,348
,Lady Gaga,Sour Candy,Diva House,348
,Duke Dumont,I Got U,Balearic Beat,347
,Duke Dumont,I Got U,Tropical House,347
2010,David Guetta,Who's That Chick,Electro House,347
,Robin Schulz,Sun Goes Down,Tropical House,346
,Marshmello,Numb,Brazilian Bass,346
2016,Vicetone,Astronomia,Electro House,346
,SNAP!,Rhythm Is A Dancer,Euro House,345
,SNAP!,Rhythm Is A Dancer,Eurodance,345
2018,K-391,Ignite,Electro House,345
2015,Zedd,I Want You To Know,Electro House,343
,Breakbot,Baby I'm Yours,Nu-Disco,343
,Alesso,If I Lose Myself,Festival Progressive House,343
,Sam Feldt,Way Back Home,Tropical House,342
,NEFFEX,Fight Back,Trap,341
,Kris Kross Amsterdam,Whenever,Tropical House,340
,Purple Disco Machine,Hypnotized,Nu-Disco,338
2018,K-391,Ignite,Glitch Hop,336
2021,Fred again..,Marea (we've lost dancing),Stutter House,336
,Disclosure,Omen,Deep House,336
,Disclosure,Omen,UK Funky,336
2022,LF SYSTEM,Afraid To Feel,Funky House,336
,Ofenbach,Be Mine,Brazilian Bass,335
2017,Jax Jones,Breathe,Slap House,335
2018,NOTD,I Wanna Know,Future Bass,335
2013,Britney Spears,Work Bitch,Electro House,335
2013,Britney Spears,Work Bitch,Big Room House,334
,Robin Schulz,Speechless,Festival Progressive House,333
,Zedd,Beautiful Now,Festival Progressive House,333
2010,Pitbull,Hey Baby (Drop It To The Floor),Electro House,333
,Robin Schulz,In Your Eyes,Future House,331
2019,LUM!X,Monster,Melbourne Bounce,331
1996,Mr. President,Coco Jamboo,Eurodance,330
,BTS,Burning Up (FIRE),Trap,327
,BTS,Burning Up (FIRE),Festival Trap,327
2010,Swedish House Mafia,One (Your Name),Electro House,326
2010,Pitbull,Hey Baby (Drop It To The Floor),Hip House,325
2013,David Guetta,She Wolf (Falling To Pieces),Electro House,325
,Bakermat,Baianá,Tropical House,325
,Kiesza,Hideaway,Deep House,323
2021,Hensonn,Sahara,Phonk House,323
2015,Tiësto,Secrets,Electro House,322
,Avicii,The Days,Festival Progressive House,322
,Robin Schulz,Sun Goes Down,Deep House,321
,A$AP Rocky,Wild For The Night,Trap,321
,Endor,Pump It Up,Tech House,321
2015,Tiësto,Secrets,Big Room House,321
2017,OneRepublic,Rich Love,Tropical House,319
,Rednex,Cotton Eye Joe,Eurodance,319
2022,Nathan Dawe,21 Reasons,Slap House,317
,CamelPhat,Cola,Tech House,317
2021,Egzod,Royalty,Heaven Trap,314
2021,Egzod,Royalty,Future Bass,314
2013,DVBBS,Tsunami,Big Room House,313
,Tez Cadey,Seve,Deep House,313
1989,Technotronic,Pump Up The Jam,Hip House,313
,ZHU,Faded,Deep House,313
,ZHU,Faded,Brazilian Bass,313
,Ellie Goulding,Sixteen,Tropical House,313
,Tez Cadey,Seve,Tropical House,313
,Oliver Heldens,Overdrive (Gecko),Future House,312
,Faul & Wad Ad,Changes,Tropical House,311
,Faul & Wad Ad,Changes,Balearic Beat,311
2022,g3ox_em,GigaChad Theme (Can You Feel ?y Heart),Phonk House,311
2017,Unlike Pluto,Everything Black,Trap,310
2017,Snakehips,Don't Leave,Future Bass,310
2021,Becky Hill,My Heart Goes (La Di Da),Slap House,308
2017,ItaloBrothers,Summer Air,Tropical House,307
1998,Stardust,Music Sounds Better With You,French House,306
2022,Alok,Deep Down,Funky House,306
,Tiësto,Red Lights,Festival Progressive House,306
2013,Flume,Drop The Game,Future Bass,306
,Steve Aoki,MIC Drop,Trap,305
,David Guetta,She Wolf (Falling To Pieces),Festival Progressive House,305
,Europa,All Day And Night,Euro House,303
,Europa,All Day And Night,House,303
,Europa,All Day And Night,Eurodance,303
,Europa,All Day And Night,Tech House,303
,Regard,You,Deep House,302
2022,Felix Jaehn,Call It Love,Slap House,301
,Technotronic,Pump Up The Jam,New Beat,301
,Adam Lambert,Ghost Town,Future House,301
,Corona,The Rhythm Of The Night,Euro House,300
,Zedd,Stay The Night,Festival Progressive House,300
,Corona,The Rhythm Of The Night,Eurodance,300
2010,Black Eyed Peas,The Time (Dirty Bit),Electro House,299
2022,MoonDeity,NEON BLADE,Phonk House,299
,Luude,Down Under,Jump-Up,298
,Avicii,Heaven,Festival Progressive House,297
,Avicii,Heaven,Tropical House,297
,Armin van Buuren,This Is What It Feels Like,Festival Progressive House,297
,Galantis,Peanut Butter Jelly,Nu-Disco,296
,Galantis,Peanut Butter Jelly,Funky House,296
,Jonas Blue,What I Like About You,Tropical House,296
,Robert Miles,Children,Dream Trance,295
,Swedish House Mafia,One (Your Name),Festival Progressive House,294
,Jax Jones,Instruction,Tribal House,294
2022,TWISTED,WORTH NOTHING,Phonk House,294
,Jax Jones,Instruction,Latin House,294
,Major Lazer,Watch Out For This (Bumaye),Moombahton,293
2018,LSD,Audio,Future Bass,293
,Kygo,Raging,Tropical House,293
,Avicii,You Make Me,Festival Progressive House,292
,Rihanna,Shut Up & Drive,Electroclash,291
,Kygo,Carry On,Tropical House,291
,Skrillex,HUMBLE.,Trap,290
,Skrillex,HUMBLE.,Hybrid Trap,290
2013,Bingo Players,Get Up (Rattle),Hip House,289
2013,Bingo Players,Get Up (Rattle),Dutch House,289
2019,Lucky Luke,Cooler Than Me,Slap House,288
2019,Gaullin,Moonlight,Slap House,285
2012,Calvin Harris,Spectrum (Say My Name),Electro House,285
,Wankelmut,One Day / Reckoning Song,Deep House,284
,Creeds,Push Up,Techno,284
,Wankelmut,One Day / Reckoning Song,House,284
2021,Alesso,When I'm Gone,Slap House,284
2021,Alesso,When I'm Gone,Electro House,284
,The Glitch Mob,RISE,Drumstep,283
